y,numerical_velocity,analytic_velocity,pointwise_error
0.0,0.0,0.0,0.0
0.03125,0.12109374999999985,0.12109375,-1.5265566588595902e-16
0.0625,0.2343749999999997,0.234375,-3.0531133177191805e-16
0.09375,0.33984374999999956,0.33984375,-4.440892098500626e-16
0.125,0.43749999999999944,0.4375,-5.551115123125783e-16
0.15625,0.5273437499999993,0.52734375,-6.661338147750939e-16
0.1875,0.6093749999999991,0.609375,-8.881784197001252e-16
0.21875,0.6835937499999989,0.68359375,-1.1102230246251565e-15
0.25,0.7499999999999987,0.75,-1.3322676295501878e-15
0.28125,0.8085937499999984,0.80859375,-1.5543122344752192e-15
0.3125,0.8593749999999983,0.859375,-1.6653345369377348e-15
0.34375,0.9023437499999982,0.90234375,-1.7763568394002505e-15
0.375,0.937499999999998,0.9375,-1.9984014443252818e-15
0.40625,0.9648437499999978,0.96484375,-2.220446049250313e-15
0.4375,0.9843749999999976,0.984375,-2.4424906541753444e-15
0.46875,0.9960937499999973,0.99609375,-2.6645352591003757e-15
0.5,0.9999999999999971,1.0,-2.886579864025407e-15
0.53125,0.996093749999997,0.99609375,-2.9976021664879227e-15
0.5625,0.984374999999997,0.984375,-2.9976021664879227e-15
0.59375,0.9648437499999969,0.96484375,-3.1086244689504383e-15
0.625,0.937499999999997,0.9375,-2.9976021664879227e-15
0.65625,0.9023437499999971,0.90234375,-2.886579864025407e-15
0.6875,0.8593749999999972,0.859375,-2.7755575615628914e-15
0.71875,0.8085937499999976,0.80859375,-2.4424906541753444e-15
0.75,0.7499999999999979,0.75,-2.1094237467877974e-15
0.78125,0.6835937499999981,0.68359375,-1.887379141862766e-15
0.8125,0.6093749999999983,0.609375,-1.6653345369377348e-15
0.84375,0.5273437499999986,0.52734375,-1.4432899320127035e-15
0.875,0.4374999999999988,0.4375,-1.2212453270876722e-15
0.90625,0.3398437499999991,0.33984375,-8.881784197001252e-16
0.9375,0.2343749999999994,0.234375,-6.106226635438361e-16
0.96875,0.12109374999999968,0.12109375,-3.191891195797325e-16
1.0,0.0,0.0,0.0
